zcta,StateName,CountyName,Metro,zhvi_2026_03,zhvi_2025_03,y_pct_chg_12m,pct_chg_1m,pct_chg_3m,pct_chg_6m,vol_12m,median_household_income,pct_bachelor_or_higher,pct_owner_occupied,population_total,county_clean,tri_facility_count_county,tri_total_releases_county,flood_zone_count
18854,PA,Bradford County,"Sayre, PA",193039.815278144,190094.2585,1.5495243261878815,0.5662372166915757,1.2274095558997302,0.6112550711067101,0.3752905415237836,77917.0,18.528138528138527,77.62128325508607,1595.0,BRADFORD,5.0,902898.208,
18901,PA,Bucks County,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",699225.3597367924,674850.7551631569,3.6118511222147953,0.307989121507407,0.784960104807719,1.7174255205425113,0.1255001120337052,118256.0,58.71613375640713,67.54587155963303,28509.0,BUCKS,50.0,430667.084,4183.0
18902,PA,Bucks County,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",791611.3755308008,754714.3299,4.888875720127063,0.3598039505691993,1.1097565419226776,2.0971682130074853,0.1120301521620968,161267.0,66.08559825054671,92.3076923076923,22898.0,BUCKS,50.0,430667.084,4183.0
18913,PA,Bucks County,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1154651.4870085225,1062925.0973878072,8.62961932558913,1.1238525470082104,3.612775167731832,4.572421224544958,0.3859843297703775,,67.78523489932886,62.0,243.0,BUCKS,50.0,430667.084,4183.0
18914,PA,Bucks County,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",623430.9761,604784.8612840952,3.0830988024923167,0.2522075398303556,0.6968647479262199,1.628829128413282,0.0671530062418784,148824.0,56.027701203523165,86.13298902517754,21598.0,BUCKS,50.0,430667.084,4183.0
18915,PA,Montgomery County,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",533983.0666046658,536543.7783207524,-0.4772605367079252,-0.2160640518060669,-0.8841937786354102,-1.9028516686820387,0.3277118039739989,141696.0,60.89693154996066,92.2056384742952,1648.0,MONTGOMERY,46.0,1521395.574,4205.0
18917,PA,Bucks County,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",491494.2073048298,490141.2803925467,0.2760279467176441,0.0691848649159469,-0.5675660200253303,-0.6731302780284849,0.2386207937721074,84250.0,38.18849449204407,62.29348882410108,2216.0,BUCKS,50.0,430667.084,4183.0
18920,PA,Bucks County,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",700390.9626109354,662418.3160748412,5.732427019998649,0.1707022629543402,0.8721210342145029,2.688260097406222,0.2711136035272323,152813.0,50.0,90.3448275862069,393.0,BUCKS,50.0,430667.084,4183.0
18923,PA,Bucks County,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",658010.5696051425,654715.8412909859,0.5032302727943616,0.3779692026167912,0.8168880740315008,0.6318915793983257,0.2036334451965182,79722.0,57.23684210526315,79.06403940886699,984.0,BUCKS,50.0,430667.084,4183.0
18925,PA,Bucks County,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",738813.5443975789,713305.2131058321,3.576075265268274,0.2404577653817209,0.4433046295847316,0.8492287792484416,0.1907605800636866,207609.0,70.11296660117878,89.68330134357005,6250.0,BUCKS,50.0,430667.084,4183.0
18929,PA,Bucks County,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",733827.5910455015,704856.0346628166,4.110279966113102,0.1930842355180696,0.4005769114239795,0.9307953159876512,0.2192019693581871,179380.0,61.56138259833135,96.11976779712802,9748.0,BUCKS,50.0,430667.084,4183.0
18930,PA,Bucks County,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",587844.1700108369,556095.5741249588,5.709197728436504,0.4080446810430395,1.5229752181869336,2.8874586911918074,0.1801739993251672,127072.0,37.93337865397689,91.24537607891492,1892.0,BUCKS,50.0,430667.084,4183.0
18932,PA,Bucks County,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",560800.4725343786,537227.2244,4.38794742033157,-0.0344535089995905,-0.224245749039934,0.2739265683202938,0.3853256667988204,,56.91823899371069,67.33333333333333,436.0,BUCKS,50.0,430667.084,4183.0
18933,PA,Bucks County,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",984119.8404780366,913579.7228530608,7.721287574628158,0.9402498826047576,3.0000566647967863,4.7175502124254045,0.3066098650115822,226083.0,100.0,89.23076923076924,105.0,BUCKS,50.0,430667.084,4183.0
18934,PA,Bucks County,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",846323.8749333957,794114.3666938562,6.574557825581698,0.9291449591693192,2.9065865967244213,4.468294231868944,0.3138450514320924,,,,,BUCKS,50.0,430667.084,4183.0
18936,PA,Montgomery County,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",371387.0057059008,378598.9735,-1.9049094949802448,0.1496418463988718,0.2162957296496259,0.0757252170868994,0.2093576412168328,,86.30952380952381,86.81318681318682,296.0,MONTGOMERY,46.0,1521395.574,4205.0
18938,PA,Bucks County,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",990545.0297022868,930539.5836856668,6.4484571176382826,0.786496507878396,2.3856022339369143,3.491471099745623,0.2027021423690856,184833.0,67.79676178549066,89.04197372636975,13649.0,BUCKS,50.0,430667.084,4183.0
18940,PA,Bucks County,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",777490.4289112746,739761.3593611233,5.100167651732328,0.2626245247691249,0.7541423777446075,1.772133044374764,0.2016690718890122,157414.0,65.57679023716325,86.01945119833275,29626.0,BUCKS,50.0,430667.084,4183.0
